ym,campaign_id,model_id,feature_focus,medium,asset_name,spend_musd,impressions_m,clicks_k,ctr_pct,cpm_usd,status
2024-11,TRN-24Q4,TRN,V6 토잉 패키지,TV,V6 토잉 패키지 TV·CTV 크리에이티브,4.7,147.7,0,0,32.0,집행중
2024-11,TRN-24Q4,TRN,V6 토잉 패키지,DIG,V6 토잉 패키지 디지털 크리에이티브,3.5,373.1,3320,0.89,9.5,집행중
2024-11,TRN-24Q4,TRN,V6 토잉 패키지,SOC,V6 토잉 패키지 소셜 크리에이티브,2.1,295.4,4235,1.43,7.2,집행중
2024-11,TRN-24Q4,TRN,V6 토잉 패키지,SRCH,V6 토잉 패키지 검색 크리에이티브,1.4,67.5,2299,3.4,21.0,집행중
2024-11,VST-24Q4,VST,하이브리드 연비,TV,하이브리드 연비 TV·CTV 크리에이티브,5.1,160.0,0,0,32.0,집행중
2024-11,VST-24Q4,VST,하이브리드 연비,DIG,하이브리드 연비 디지털 크리에이티브,3.8,404.2,3389,0.84,9.5,집행중
2024-11,VST-24Q4,VST,하이브리드 연비,SOC,하이브리드 연비 소셜 크리에이티브,2.3,320.0,4848,1.52,7.2,집행중
2024-11,VST-24Q4,VST,하이브리드 연비,SRCH,하이브리드 연비 검색 크리에이티브,1.5,73.1,2589,3.54,21.0,집행중
2024-11,AUR-24Q4,AUR,롱레인지 배터리,TV,롱레인지 배터리 TV·CTV 크리에이티브,1.6,49.2,0,0,32.0,집행중
2024-11,AUR-24Q4,AUR,롱레인지 배터리,DIG,롱레인지 배터리 디지털 크리에이티브,1.2,124.4,996,0.8,9.5,집행중
2024-11,AUR-24Q4,AUR,롱레인지 배터리,SOC,롱레인지 배터리 소셜 크리에이티브,0.7,98.5,1213,1.23,7.2,집행중
2024-11,AUR-24Q4,AUR,롱레인지 배터리,SRCH,롱레인지 배터리 검색 크리에이티브,0.5,22.5,678,3.01,21.0,집행중
2024-11,MRD-24Q4,MRD,스포츠 다이내믹,TV,스포츠 다이내믹 TV·CTV 크리에이티브,3.2,98.5,0,0,32.0,집행중
2024-11,MRD-24Q4,MRD,스포츠 다이내믹,DIG,스포츠 다이내믹 디지털 크리에이티브,2.4,248.7,2244,0.9,9.5,집행중
2024-11,MRD-24Q4,MRD,스포츠 다이내믹,SOC,스포츠 다이내믹 소셜 크리에이티브,1.4,196.9,2783,1.41,7.2,집행중
2024-11,MRD-24Q4,MRD,스포츠 다이내믹,SRCH,스포츠 다이내믹 검색 크리에이티브,0.9,45.0,1492,3.31,21.0,집행중
2024-11,NOV-24Q4,NOV,패밀리 라운지 시트,TV,패밀리 라운지 시트 TV·CTV 크리에이티브,2.6,80.0,0,0,32.0,집행중
2024-11,NOV-24Q4,NOV,패밀리 라운지 시트,DIG,패밀리 라운지 시트 디지털 크리에이티브,1.9,202.1,1769,0.88,9.5,집행중
2024-11,NOV-24Q4,NOV,패밀리 라운지 시트,SOC,패밀리 라운지 시트 소셜 크리에이티브,1.2,160.0,2310,1.44,7.2,집행중
2024-11,NOV-24Q4,NOV,패밀리 라운지 시트,SRCH,패밀리 라운지 시트 검색 크리에이티브,0.8,36.6,1251,3.42,21.0,집행중
2024-11,LUM-24Q4,LUM,V2L 파워,TV,V2L 파워 TV·CTV 크리에이티브,2.6,80.0,0,0,32.0,집행중
2024-11,LUM-24Q4,LUM,V2L 파워,DIG,V2L 파워 디지털 크리에이티브,1.9,202.1,1747,0.86,9.5,집행중
2024-11,LUM-24Q4,LUM,V2L 파워,SOC,V2L 파워 소셜 크리에이티브,1.2,160.0,2206,1.38,7.2,집행중
2024-11,LUM-24Q4,LUM,V2L 파워,SRCH,V2L 파워 검색 크리에이티브,0.8,36.6,1120,3.06,21.0,집행중
