node_id,parent_id,level,kind,node_name,short_name,weight_pct,bind,unit,direction,lever
AR-FIN,,area,folder,재무,재무,37,,,+,
AR-BIZ,,area,folder,사업,사업,35,,,+,
AR-ESG,,area,folder,지속경영,지속경영,25,,,+,
KPI-ASP,AR-FIN,kpi,folder,ASP (인센티브 차감 후),ASP,5,asp,$,+,
KPI-RECUR,AR-FIN,kpi,folder,경상이익률,경상이익,5,recur,%,+,
KPI-COMB,AR-FIN,kpi,folder,합산손익,합산손익,12,comb,$,+,
KPI-COMBR,AR-FIN,kpi,folder,합산손익률,합산손익률,15,combr,%,+,
KPI-WS,AR-BIZ,kpi,folder,도매판매량,도매판매,10,ws,대,+,
KPI-SUV,AR-BIZ,kpi,folder,볼륨 SUV 육성 (소매),SUV육성,10,suv,대,+,
KPI-SHARE,AR-BIZ,kpi,folder,시장점유율,점유율,10,share,%,+,
KPI-EV,AR-BIZ,kpi,folder,친환경 소매판매량 (소매),친환경,5,ev,대,+,
KPI-GREEN,AR-ESG,kpi,folder,그린워싱,그린워싱,5,,건,-,
KPI-FSI,AR-ESG,kpi,folder,Full SI 2.0,Full SI,5,,%,+,
KPI-CSIS,AR-ESG,kpi,folder,고객만족도 (서비스),CS서비스,3.5,csisvc,점,+,
KPI-CSIP,AR-ESG,kpi,folder,고객만족도 (판매),CS판매,3.5,csidlv,점,+,
KPI-SEC,AR-ESG,kpi,folder,보안,보안,3,,건,-,
KPI-BRAND,AR-ESG,kpi,folder,브랜드트래커,브랜드,5,brand,점,+,
ND-ASP-MIX,KPI-ASP,node,metric,트림 믹스 프리미엄,믹스,0,mixprem,$,+,
ND-ASP-INC,KPI-ASP,node,metric,대당 인센티브,인센티브,0,incunit,$,-,
ND-ASP-FX,KPI-ASP,node,metric,환율 영향,환율,0,,$,~,
ND-OPEX,KPI-RECUR,node,folder,오피스 관리비,관리비,0,opex,$,-,
ND-ENERGY,ND-OPEX,node,metric,전력사용량,전력,0,energy,$,-,hvac
ND-LEASE,ND-OPEX,node,metric,임차·시설,임차,0,lease,$,-,
ND-SUPPLY,ND-OPEX,node,metric,소모품·기타,소모품,0,,$,-,
ND-PARTS,KPI-RECUR,node,metric,Parts 손익,Parts,0,parts,k$,+,
ND-LOGI,KPI-RECUR,node,metric,물류·운송비,물류비,0,freight,$,-,
ND-FINCOST,KPI-RECUR,node,metric,금융 비용,금융비용,0,,$,-,
ND-OP,KPI-COMB,node,metric,영업이익 (판매법인),영업이익,0,op,$,+,
ND-CAPTIVE,KPI-COMB,node,metric,금융법인 손익 (캡티브),캡티브,0,captive,$,+,
ND-REV,KPI-COMBR,node,metric,도매 매출,매출,0,rev,$,+,
ND-ORD,KPI-WS,node,metric,월 생산 주문,주문,0,ord,대,+,
ND-DS,KPI-WS,node,metric,재고 일수 (DS),DS,0,ds,일,~,
ND-PIPE,KPI-WS,node,metric,해상 파이프라인,파이프라인,0,,대,~,
ND-TRN,KPI-SUV,node,metric,Terron 소매 (대형 SUV),TRN,0,m_TRN,대,+,
ND-VST,KPI-SUV,node,metric,Vista 소매 (중형 SUV),VST,0,m_VST,대,+,
ND-SUVINC,KPI-SUV,node,metric,SUV 인센티브 효율,SUV인센,0,suvinc,$,-,
ND-IND,KPI-SHARE,node,metric,산업 수요 (SAAR),산업수요,0,industry,대,~,
ND-COMP,KPI-SHARE,node,metric,경쟁사 런칭 모니터링,경쟁,0,,건,~,
ND-AUR,KPI-EV,node,metric,Aurora EV 소매,AUR,0,m_AUR,대,+,
ND-LUM,KPI-EV,node,metric,Lumen EV 소매,LUM,0,m_LUM,대,+,
ND-CHG,KPI-EV,node,metric,충전 인프라 파트너십,충전,0,,건,+,
ND-GREEN-AD,KPI-GREEN,node,metric,광고 환경 표기 심의,광고심의,0,,건,-,
ND-FSI-DLR,KPI-FSI,node,metric,딜러 SI 2.0 적용률,딜러SI,0,,%,+,
ND-VOC,KPI-CSIS,node,metric,VoC·클레임 발생률,VoC,0,voc,/1k,-,
ND-CAMP,KPI-CSIS,node,metric,품질 캠페인 커버리지,캠페인,0,camp,%,+,
ND-DLV,KPI-CSIP,node,metric,인도 리드타임 지수,인도,0,csidlv,점,+,
ND-DEXP,KPI-CSIP,node,metric,딜러 구매 경험,구매경험,0,,점,+,
ND-SECP,KPI-SEC,node,metric,차량 SW 보안 패치,SW패치,0,,%,+,
ND-SECIT,KPI-SEC,node,metric,IT 침해 시도 대응,IT보안,0,,건,-,
ND-ADST,KPI-BRAND,node,metric,광고 인지 잔존 (adstock),인지,0,adstock,점,+,
ND-SOC,KPI-BRAND,node,metric,소셜 감성 지수,소셜,0,,점,+,
