ym,building,floor,zone_id,zone_name,zone_type,area_m2,temp_set_c,kwh_peak,kwh_off,kwh_peak_hvac,cost_usd
2024-03,동관,1,E1-LOB,로비·안내,공용,900,24.0,7185,5203,2674,2682
2024-03,동관,1,E1-CAF,카페테리아,공용,700,24.0,5601,4056,2037,2091
2024-03,동관,1,E1-OFA,사무 A,사무,1400,23.0,11808,8551,5287,4408
2024-03,동관,1,E1-MTG,회의실 존,회의,600,23.5,4530,3280,2022,1691
2024-03,동관,1,E1-SRV,서버실,항온,400,20.0,13481,9762,0,5032
2024-03,동관,2,E2-OFA,사무 A,사무,1500,23.0,13015,9425,5943,4858
2024-03,동관,2,E2-OFB,사무 B,사무,1300,23.0,10725,7766,4851,4003
2024-03,동관,2,E2-MTG,회의실 존,회의,500,23.5,3877,2807,1767,1447
2024-03,동관,2,E2-COM,공용,공용,300,24.0,2455,1777,910,916
2024-03,동관,3,E3-OFA,사무 A,사무,1500,23.0,12597,9122,5676,4702
2024-03,동관,3,E3-OFB,사무 B,사무,1200,23.0,10527,7623,4929,3930
2024-03,동관,3,E3-EXE,임원실,사무,600,23.0,4940,3578,2228,1844
2024-03,동관,3,E3-COM,공용,공용,300,24.0,2382,1725,893,889
2024-03,서관,1,W1-TRN,교육장,회의,1100,23.5,8376,6065,3848,3126
2024-03,서관,1,W1-SHW,전시·딜러 라운지,공용,900,24.0,7479,5416,2935,2792
2024-03,서관,1,W1-OFA,사무 A,사무,1000,23.0,8837,6399,4104,3299
2024-03,서관,1,W1-COM,공용,공용,400,24.0,3310,2397,1255,1235
2024-03,서관,2,W2-OFA,사무 A,사무,1400,23.0,12004,8693,5449,4481
2024-03,서관,2,W2-OFB,사무 B,사무,1200,23.0,10331,7481,4642,3856
2024-03,서관,2,W2-MTG,회의실 존,회의,500,23.5,3929,2845,1813,1466
2024-03,서관,2,W2-COM,공용,공용,300,24.0,2476,1793,924,924
2024-03,서관,3,W3-CC,콜센터,사무,1300,23.0,10860,7864,4922,4054
2024-03,서관,3,W3-OFA,사무 A,사무,1100,23.0,9236,6688,4161,3448
2024-03,서관,3,W3-COM,공용,공용,400,24.0,3317,2402,1255,1238
